product_id,category,product_name,price,image,image_url,source
278350975,Power Banks,"Pin sạc dự phòng 66W sạc siêu nhanh SHOUHUZHE SH-171 dung lượng 10000mAh sạc nhanh hai chiều, tiêu chuẩn 3C quốc gia, hàng chính hãng",237650,278350975.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/a7/a3/cf/cc28d15015fa104cc5921e057db11164.jpg,https://tiki.vn/pin-sac-du-phong-66w-sac-sieu-nhanh-shouhuzhe-sh-171-dung-luong-10000mah-sac-nhanh-hai-chieu-tieu-chuan-3c-quoc-gia-hang-chinh-hang-p278350975.html?spid=278351008
278350860,Power Banks,"ãngPin sạc dự phòng SH-015 công suất 22.5W sạc siêu nhanh, dung lượng 10000mAh sạc nhanh hai chiều, có tiêu chuẩn 3C, hàng chính hãng",227950,278350860.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/b6/f7/12/ded3e0df046bb35b95607f855209c130.jpg,https://tiki.vn/angpin-sac-du-phong-sh-015-cong-suat-22-5w-sac-sieu-nhanh-dung-luong-10000mah-sac-nhanh-hai-chieu-co-tieu-chuan-3c-hang-chinh-hang-p278350860.html?spid=278350885
278278090,Power Banks,[Mỹ] Sạc dự phòng Energizer UE30055PQ Dung lượng 30000mAh sạc nhanh PD 20W với 9 chứng nhận an toàn - Hàng chính hãng,709000,278278090.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/86/b4/75/85580f83db15277a34b64c47202a342f.jpg,https://tiki.vn/my-sac-du-phong-energizer-ue30055pq-dung-luong-30000mah-sac-nhanh-pd-20w-voi-9-chung-nhan-an-toan-hang-chinh-hang-p278278090.html?spid=278278091
278278036,Power Banks,[Mỹ] Sạc dự phòng Energizer UE20055PQ Dung lượng 20000mAh sạc nhanh PD 20W với 9 chứng nhận an toàn - Hàng chính hãng,580800,278278036.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/98/d7/2b/4bcafc3b7a64a2dee7aafe8e707b687a.jpg,https://tiki.vn/my-sac-du-phong-energizer-ue20055pq-dung-luong-20000mah-sac-nhanh-pd-20w-voi-9-chung-nhan-an-toan-hang-chinh-hang-p278278036.html?spid=278278037
278243688,Power Banks,[ Hàng Chính Hãng ] Pin sạc dự phòng không dây Energizer QE10009PQ 10000mAh - Sạc Nhanh PD - BH 12 tháng,469000,278243688.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/dd/f2/0a/17e1cc4d1554bc8aca0205db2ec5f46c.jpg,https://tiki.vn/hang-chinh-hang-pin-sac-du-phong-khong-day-energizer-qe10009pq-10000mah-sac-nhanh-pd-bh-12-thang-p278243688.html?spid=278243689
278242807,Power Banks,"Pin dự phòng sạc nhanh ROCK P99 PD 22.5W 20000mAh có cáp tích hợp , hàng chính hãng bảo hành 1 năm",459840,278242807.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/07/4c/96/13de289c5aafaea32ea0d1d5f5d0e3b9.jpg,https://tiki.vn/pin-du-phong-sac-nhanh-rock-p99-pd-22-5w-20000mah-co-cap-tich-hop-hang-chinh-hang-bao-hanh-1-nam-p278242807.html?spid=278242021
278242618,Power Banks,[ Hàng Chính Hãng ] Pin sạc dự phòng cao cấp Energizer UE10055PQBK 10000mAh - Sạc Nhanh PD - BH 12 tháng,389000,278242618.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/af/77/68/2e37aeea2483f3a8810a302a013e913d.jpg,https://tiki.vn/hang-chinh-hang-pin-sac-du-phong-cao-cap-energizer-ue10050ccbk-10000mah-sac-nhanh-pd-bh-12-thang-p278242618.html?spid=278242619
278242303,Power Banks,[ Hàng Chính Hãng ] Pin sạc dự phòng cao cấp Energizer UE10050CCBK 10000mAh - Sạc Nhanh PD - BH 12 tháng,319130,278242303.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/38/85/af/6e394028f1ed9cd2a3f9bda8389843f8.jpg,https://tiki.vn/hang-chinh-hang-pin-sac-du-phong-cao-cap-energizer-ue10050ccbk-10000mah-sac-nhanh-pd-bh-12-thang-p278242303.html?spid=278242304
278159301,Power Banks,"Pin dự phòng sạc nhanh ROCK P95 PD 22.5W 10000mAh có cáp tích hợp , hàng chính hãng bảo hành 1 năm",340800,278159301.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/cf/39/05/ce75153845f319539d160ebb56709d8b.jpg,https://tiki.vn/pin-sac-du-phong-mini-rockspace-p95-sac-nhanh-22-5w-10000mah-co-tich-hop-day-sac-cho-dien-thoai-hang-chinh-hang-bao-hanh-1-nam-p278159301.html?spid=278159302
278139247,Power Banks,"Pin sạc dự phòng ROCKSPACE Y30 10000mah sạc nhanh 22,5W tích hợp củ sạc, hàng chính hãng bảo hành 12 tháng ",456000,278139247.jpg,https://salt.tikicdn.com/cache/280x280/ts/product/4f/c1/a2/e230c915ff064d8adf7041ff9d9e2f47.jpg,https://tiki.vn/pin-sac-du-phong-rockspace-y30-10000mah-sac-nhanh-22-5w-tich-hop-cu-sac-hang-chinh-hang-bao-hanh-12-thang-p278139247.html?spid=278139248
